college_name_standardized,short_name,region,city,state,type,established,nirf_ranking,degrees_offered,streams_offered,website,shiksha_url,wikipedia_url
Indian Institute of Information Technology Allahabad,IIIT Allahabad,North,Prayagraj,Uttar Pradesh,IIIT (Central Govt - Autonomous),1999,51,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Information Technology | Electrical Engineering | Electronics & Communication | Data Science | Artificial Intelligence | Bioinformatics,https://www.iiita.ac.in,https://www.shiksha.com/university/iiit-allahabad-prayagraj-11115,https://en.wikipedia.org/wiki/IIIT_Allahabad
Indian Institute of Information Technology Hyderabad,IIIT Hyderabad,South,Hyderabad,Telangana,IIIT (Deemed - Autonomous),1998,44,B.Tech | M.Tech | Ph.D | M.Sc | MS (Research),Computer Science | Electronics & Communication | Computational Linguistics | Data Science | Artificial Intelligence | Machine Learning | Cognitive Science | Robotics | VLSI | Signal Processing,https://www.iiit.ac.in,https://www.shiksha.com/university/iiit-hyderabad-hyderabad-11116,https://en.wikipedia.org/wiki/IIIT_Hyderabad
Indian Institute of Information Technology Bangalore,IIIT Bangalore,South,Bangalore,Karnataka,IIIT (Deemed - Autonomous),1999,62,M.Tech | Ph.D | M.Sc | iMTech,Computer Science | Information Technology | Electronics & Communication | Data Science | Artificial Intelligence | Software Engineering | Digital Society | Networking,https://www.iiitb.ac.in,https://www.shiksha.com/university/iiit-bangalore-bangalore-11117,https://en.wikipedia.org/wiki/IIIT_Bangalore
Indian Institute of Information Technology Design and Manufacturing Kancheepuram,IIITDM Kancheepuram,South,Chennai,Tamil Nadu,IIIT (Central Govt - Autonomous),2007,88,B.Tech | M.Tech | Ph.D,Computer Science | Electronics & Communication | Mechanical Engineering | Smart Manufacturing | Engineering Design,https://www.iiitdm.ac.in,https://www.shiksha.com/university/iiitdm-kancheepuram-chennai-36518,https://en.wikipedia.org/wiki/IIITDM_Kancheepuram
Indian Institute of Information Technology Design and Manufacturing Jabalpur,IIITDM Jabalpur,Central,Jabalpur,Madhya Pradesh,IIIT (Central Govt - Autonomous),2005,93,B.Tech | M.Tech | Ph.D,Computer Science | Electronics & Communication | Mechanical Engineering | Smart Manufacturing | Design | Internet of Things,https://www.iiitdmj.ac.in,https://www.shiksha.com/university/iiitdm-jabalpur-jabalpur-36519,https://en.wikipedia.org/wiki/IIITDM_Jabalpur
Indian Institute of Information Technology Gwalior,ABV-IIITM Gwalior,Central,Gwalior,Madhya Pradesh,IIIT (Central Govt - Autonomous),1997,75,B.Tech | M.Tech | Ph.D | MBA | M.Sc,Computer Science | Information Technology | Electronics & Communication | Data Analytics | Artificial Intelligence | Bioinformatics | Information Management,https://www.iiitm.ac.in,https://www.shiksha.com/university/abv-iiitm-gwalior-gwalior-11118,https://en.wikipedia.org/wiki/ABV-IIITM_Gwalior
Indian Institute of Information Technology Kota,IIIT Kota,North,Kota,Rajasthan,IIIT (PPP - Autonomous),2013,121,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science,https://www.iiitkota.ac.in,https://www.shiksha.com/university/iiit-kota-kota-79340,https://en.wikipedia.org/wiki/IIIT_Kota
Indian Institute of Information Technology Sri City,IIIT Sri City,South,Chittoor,Andhra Pradesh,IIIT (PPP - Autonomous),2013,131,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science | Artificial Intelligence,https://www.iiits.ac.in,https://www.shiksha.com/university/iiit-sri-city-chittoor-79341,https://en.wikipedia.org/wiki/IIIT_Sri_City
Indian Institute of Information Technology Vadodara,IIIT Vadodara,West,Vadodara,Gujarat,IIIT (PPP - Autonomous),2013,141,B.Tech | M.Tech,Computer Science | Electronics & Communication | Information Technology,https://www.iiitvadodara.ac.in,https://www.shiksha.com/university/iiit-vadodara-vadodara-79342,https://en.wikipedia.org/wiki/IIIT_Vadodara
Indian Institute of Information Technology Lucknow,IIIT Lucknow,North,Lucknow,Uttar Pradesh,IIIT (PPP - Autonomous),2015,151,B.Tech | M.Tech,Computer Science | Information Technology | Electronics & Communication | Data Science,https://www.iiitl.ac.in,https://www.shiksha.com/university/iiit-lucknow-lucknow-114761,https://en.wikipedia.org/wiki/IIIT_Lucknow
Indian Institute of Information Technology Dharwad,IIIT Dharwad,South,Dharwad,Karnataka,IIIT (PPP - Autonomous),2015,161,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science | Artificial Intelligence,https://www.iiitdwd.ac.in,https://www.shiksha.com/university/iiit-dharwad-dharwad-114762,https://en.wikipedia.org/wiki/IIIT_Dharwad
Indian Institute of Information Technology Design and Manufacturing Kurnool,IIITDM Kurnool,South,Kurnool,Andhra Pradesh,IIIT (Central Govt - Autonomous),2015,171,B.Tech | M.Tech | Ph.D,Computer Science | Electronics & Communication | Mechanical Engineering,https://www.iiitk.ac.in,https://www.shiksha.com/university/iiitdm-kurnool-kurnool-114763,https://en.wikipedia.org/wiki/IIITDM_Kurnool
Indian Institute of Information Technology Agartala,IIIT Agartala,East,Agartala,Tripura,IIIT (PPP - Autonomous),2015,181,B.Tech | M.Tech,Computer Science | Electronics & Communication,https://www.iiitagartala.ac.in,https://www.shiksha.com/university/iiit-agartala-agartala-114764,https://en.wikipedia.org/wiki/IIIT_Agartala
Indian Institute of Information Technology Raichur,IIIT Raichur,South,Raichur,Karnataka,IIIT (PPP - Autonomous),2019,191,B.Tech,Computer Science | Electronics & Communication,https://www.iiitr.ac.in,https://www.shiksha.com/university/iiit-raichur-raichur-114765,https://en.wikipedia.org/wiki/IIIT_Raichur
Indian Institute of Information Technology Ranchi,IIIT Ranchi,East,Ranchi,Jharkhand,IIIT (PPP - Autonomous),2016,196,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science,https://www.iiitranchi.ac.in,https://www.shiksha.com/university/iiit-ranchi-ranchi-114766,https://en.wikipedia.org/wiki/IIIT_Ranchi
Indian Institute of Information Technology Nagpur,IIIT Nagpur,West,Nagpur,Maharashtra,IIIT (PPP - Autonomous),2016,201,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science | Artificial Intelligence,https://www.iiitn.ac.in,https://www.shiksha.com/university/iiit-nagpur-nagpur-114767,https://en.wikipedia.org/wiki/IIIT_Nagpur
Indian Institute of Information Technology Pune,IIIT Pune,West,Pune,Maharashtra,IIIT (PPP - Autonomous),2016,206,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science,https://www.iiitp.ac.in,https://www.shiksha.com/university/iiit-pune-pune-114768,https://en.wikipedia.org/wiki/IIIT_Pune
Indian Institute of Information Technology Bhopal,IIIT Bhopal,Central,Bhopal,Madhya Pradesh,IIIT (PPP - Autonomous),2017,211,B.Tech | M.Tech,Computer Science | Electronics & Communication | Information Technology,https://www.iiitbhopal.ac.in,https://www.shiksha.com/university/iiit-bhopal-bhopal-114769,https://en.wikipedia.org/wiki/IIIT_Bhopal
Indian Institute of Information Technology Bhagalpur,IIIT Bhagalpur,East,Bhagalpur,Bihar,IIIT (PPP - Autonomous),2017,216,B.Tech | M.Tech,Computer Science | Electronics & Communication,https://www.iiitbh.ac.in,https://www.shiksha.com/university/iiit-bhagalpur-bhagalpur-114770,https://en.wikipedia.org/wiki/IIIT_Bhagalpur
Indian Institute of Information Technology Surat,IIIT Surat,West,Surat,Gujarat,IIIT (PPP - Autonomous),2017,221,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science,https://www.iiitsurat.ac.in,https://www.shiksha.com/university/iiit-surat-surat-114771,https://en.wikipedia.org/wiki/IIIT_Surat
Indian Institute of Information Technology Manipur,IIIT Manipur,East,Imphal,Manipur,IIIT (PPP - Autonomous),2015,226,B.Tech | M.Tech,Computer Science | Electronics & Communication,https://www.iiitmanipur.ac.in,https://www.shiksha.com/university/iiit-manipur-imphal-114772,https://en.wikipedia.org/wiki/IIIT_Manipur
Indian Institute of Information Technology Tiruchirappalli,IIIT Trichy,South,Tiruchirappalli,Tamil Nadu,IIIT (PPP - Autonomous),2015,231,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science,https://www.iiitt.ac.in,https://www.shiksha.com/university/iiit-trichy-tiruchirappalli-114773,https://en.wikipedia.org/wiki/IIIT_Tiruchirappalli
Indian Institute of Information Technology Una,IIIT Una,North,Una,Himachal Pradesh,IIIT (PPP - Autonomous),2014,236,B.Tech | M.Tech,Computer Science | Electronics & Communication | Information Technology,https://www.iiitu.ac.in,https://www.shiksha.com/university/iiit-una-una-114774,https://en.wikipedia.org/wiki/IIIT_Una
Indian Institute of Information Technology Kalyani,IIIT Kalyani,East,Kalyani,West Bengal,IIIT (PPP - Autonomous),2014,241,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science,https://www.iiitklyani.ac.in,https://www.shiksha.com/university/iiit-kalyani-kalyani-114775,https://en.wikipedia.org/wiki/IIIT_Kalyani
Indian Institute of Information Technology Vadodara International Campus Diu,IIIT Vadodara ICD,West,Diu,Dadra and Nagar Haveli and Daman and Diu,IIIT (Central Govt - Autonomous),2017,246,B.Tech,Computer Science | Electronics & Communication,https://www.iiitvadodara.ac.in/icd,https://www.shiksha.com/university/iiit-vadodara-icd-diu-114776,https://en.wikipedia.org/wiki/IIIT_Vadodara_International_Campus_Diu
Indian Institute of Information Technology Kottayam,IIIT Kottayam,South,Kottayam,Kerala,IIIT (PPP - Autonomous),2015,251,B.Tech | M.Tech,Computer Science | Electronics & Communication | Data Science | Artificial Intelligence,https://www.iiitkottayam.ac.in,https://www.shiksha.com/university/iiit-kottayam-kottayam-114777,https://en.wikipedia.org/wiki/IIIT_Kottayam
